사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,경부선,125,대방,541,4,"5,521","2,418","9,874","10,062","27,077","33,201","35,385","47,295","20,140","20,453","15,115","10,599","14,090","10,122","15,041","11,336","15,625","13,353","14,686","12,389","16,117","13,834","17,751","16,080","29,076","22,738","43,399","34,635","16,811","24,190","11,418","16,171","10,821","14,801","8,303","12,842","2,385","8,357",19,782,0,1,0,0,0,0
20-Oct,경부선,126,영등포,"4,404",61,"17,308","6,121","15,201","20,577","33,716","51,796","49,525","110,027","34,764","82,227","30,034","63,045","37,734","64,251","44,031","66,661","49,477","72,654","56,180","68,366","65,277","70,310","77,937","70,715","96,196","82,498","138,340","109,270","84,533","70,011","85,247","36,332","68,939","27,502","53,841","22,034","21,515","12,501",161,"2,904",5,8,0,0,0,0
20-Oct,경부선,127,신도림,628,9,"2,272",675,"3,235","2,091","9,741","6,581","11,426","15,037","6,430","6,324","4,546","4,511","4,293","4,079","4,768","4,576","4,781","4,554","4,520","4,524","4,824","5,588","5,686","6,080","8,512","8,668","14,055","13,065","5,907","8,385","4,333","4,763","4,358","4,422","2,966","3,676","1,326","2,159",30,"1,650",0,3,0,0,0,0
20-Oct,경부선,151,신길,803,1,"10,651","2,220","9,815","5,482","21,757","15,498","28,125","27,584","17,055","10,226","10,883","6,058","9,984","6,091","10,678","6,849","10,705","7,619","9,309","7,631","10,871","9,282","13,464","10,360","17,999","16,279","29,093","21,411","12,220","15,270","7,500","10,167","6,799","11,033","4,734","9,328","1,868","5,877",28,831,2,4,0,0,0,0
20-Oct,경부선,249,구로,"12,366",27,"22,784","5,064","18,039","11,583","33,812","29,590","35,246","73,471","23,492","41,220","19,071","23,980","19,352","21,549","20,809","21,696","21,316","22,036","22,233","21,779","24,122","24,039","29,206","26,679","46,107","37,140","63,346","43,022","27,972","30,135","19,393","19,735","18,248","18,916","13,102","14,918","4,929","13,221",52,"10,839",0,44,0,0,0,0
20-Oct,경부선,250,가산디지털단지,"1,472",7,"7,974","2,255","6,607","10,718","13,345","45,696","13,715","134,529","10,312","70,677","8,697","20,800","9,882","15,079","11,577","14,949","12,153","17,116","12,999","15,390","14,644","15,756","20,909","18,105","54,530","22,456","100,674","26,572","41,919","19,356","25,237","11,732","20,924","10,823","14,034","9,568","5,417","5,873",100,"1,334",0,0,0,0,0,0
20-Oct,경부선,251,금천구청,810,5,"10,541","1,521","16,860","5,190","41,917","14,086","40,601","25,810","22,318","10,545","16,216","8,283","14,495","8,723","14,745","11,203","14,009","11,927","12,899","12,062","12,915","15,499","13,789","18,065","16,455","25,158","23,172","40,308","10,957","32,164","8,039","16,947","6,620","17,022","5,003","13,742","1,823","9,346",48,891,0,0,0,0,0,0
20-Oct,경부선,252,석수,433,8,"7,387","2,656","14,486","5,758","35,837","11,330","36,860","16,604","20,036","12,722","13,139","10,097","12,495","7,051","12,002","7,874","11,681","8,214","11,283","8,348","13,199","10,482","14,534","12,324","17,799","17,058","18,373","30,369","10,069","26,203","6,514","14,810","5,549","15,116","3,583","12,721","1,468","7,293",43,899,0,0,0,0,0,0
20-Oct,경부선,253,관악,236,1,"6,918","2,074","10,747","4,122","29,125","4,793","27,705","8,925","14,488","9,344","9,750","8,704","8,731","6,758","9,068","7,146","9,370","6,777","9,442","6,899","9,850","7,971","11,816","9,480","12,305","13,352","10,847","23,599","6,253","20,841","4,543","11,478","3,919","11,077","2,319","9,250",886,"6,243",65,"1,020",0,0,0,0,0,0
20-Oct,경부선,254,안양,331,3,"13,968","3,565","27,365","12,369","70,818","16,076","65,052","37,445","36,808","38,669","26,693","27,683","28,320","27,781","32,877","31,716","32,724","34,531","31,618","29,923","35,861","32,836","42,569","36,718","45,849","52,028","39,723","75,092","25,759","65,773","23,221","36,570","24,274","28,527","19,697","22,585","8,046","17,559",445,"3,220",0,0,0,0,0,0
20-Oct,경부선,255,명학,151,1,"6,263","2,485","8,572","9,853","22,706","21,257","20,428","47,617","10,851","11,826","8,208","7,104","8,102","6,224","9,303","6,541","8,456","7,343","8,193","6,569","8,683","7,291","12,261","8,807","23,144","10,917","32,427","17,741","11,555","15,928","10,267","9,906","7,178","8,518","4,660","7,180","1,629","5,393",79,"1,195",0,0,0,0,0,0
20-Oct,경부선,256,금정,316,4,"21,557","7,138","30,382","20,296","70,995","37,012","74,638","77,247","43,726","26,726","29,767","18,887","28,332","19,600","29,277","22,383","28,560","23,447","25,907","25,246","27,244","29,278","34,155","37,404","51,275","52,051","65,364","73,480","31,586","64,216","24,332","39,325","20,809","37,904","15,465","30,871","6,502","22,805",430,"6,065",0,0,0,0,0,0
20-Oct,경부선,257,군포,84,31,"5,275","1,886","8,365","6,779","16,601","28,071","16,083","41,636","9,105","7,054","7,172","4,809","7,003","4,633","7,047","5,043","6,832","5,648","6,351","5,450","6,532","6,533","8,097","7,472","18,130","10,850","34,050","13,169","11,973","12,325","9,439","7,725","7,219","7,050","3,725","5,652","1,392","4,235",104,599,0,0,0,0,0,0
20-Oct,경부선,258,의왕,161,4,"5,764","1,556","11,240","6,869","27,632","21,138","26,916","22,502","12,371","8,462","10,033","6,859","9,890","6,924","9,955","7,769","10,135","8,757","9,504","8,187","10,071","10,133","13,008","12,004","21,876","15,677","21,087","25,076","10,388","20,837","7,691","14,209","6,087","11,620","3,811","9,834","1,740","6,687",119,"1,407",0,0,0,0,0,0
20-Oct,경부선,259,성균관대,169,2,"7,729","1,783","22,573","5,034","57,225","8,824","47,427","21,347","22,318","16,046","17,166","11,787","16,535","13,168","18,400","13,116","18,068","16,999","16,409","15,192","17,025","17,721","20,674","21,091","23,816","30,247","23,133","50,226","14,089","46,443","11,120","26,754","10,931","23,698","9,423","19,850","4,098","13,760",227,"2,932",0,0,0,0,0,0
20-Oct,경부선,260,화서,419,2,"5,958","1,888","16,705","5,593","34,793","4,508","25,388","8,137","11,862","5,390","9,363","5,089","8,679","5,470","8,248","5,474","7,781","7,489","7,163","7,084","7,351","8,366","9,872","9,370","10,962","17,569","9,081","26,679","5,250","23,156","3,784","12,847","3,391","11,752","2,891","9,666",922,"6,701",58,"1,515",0,0,0,0,0,0
20-Oct,경부선,261,수원,"2,286",35,"18,322","6,624","29,071","26,314","62,607","46,160","57,024","66,570","39,432","61,115","37,419","53,635","44,051","56,676","48,352","67,370","49,825","67,332","52,880","65,796","61,644","64,289","76,507","71,873","84,556","87,441","91,750","105,579","73,422","85,224","74,276","49,638","55,184","39,715","48,051","30,748","18,491","21,610",550,"6,020",1,2,0,0,0,0
20-Oct,경부선,262,독산,608,2,"6,506","2,772","14,038","12,967","34,296","35,355","33,846","85,002","19,069","40,173","14,573","14,432","13,918","10,514","15,521","12,697","15,265","13,223","14,377","11,867","15,637","14,456","22,245","17,047","43,764","22,229","65,075","35,666","29,547","29,687","16,181","17,111","12,912","17,550","8,023","14,089","2,438","8,840",81,590,0,0,0,0,0,0
20-Oct,경부선,263,세류,457,7,"3,132",810,"6,376","2,806","12,421","3,777","8,845","4,356","4,802","2,677","3,866","2,457","3,858","2,790","3,764","2,945","3,476","2,921","3,295","3,057","3,476","3,282","4,511","4,762","5,559","6,238","5,810","9,578","3,370","8,610","2,764","5,808","2,157","4,995","1,333","4,040",427,"2,476",8,898,0,0,0,0,0,0
20-Oct,경부선,264,병점,"2,871",15,"6,438","3,550","19,732","10,191","42,407","18,827","33,514","22,364","21,604","13,291","18,337","10,798","18,736","12,259","19,032","13,399","17,483","14,323","16,756","15,841","18,099","16,463","22,468","23,066","29,210","28,552","30,515","39,476","16,771","37,914","11,906","25,925","10,101","21,804","7,444","18,430","2,446","12,487",28,"6,837",0,0,0,0,0,0
20-Oct,경부선,265,세마,271,0,"1,785",505,"4,421","1,499","8,088","2,962","6,668","5,827","4,984","2,027","3,746","1,665","3,422","2,053","3,435","2,155","3,571","2,621","3,117","2,714","3,288","2,051","3,938","3,718","4,641","4,884","5,584","6,574","2,523","6,711","1,679","4,473","1,629","3,723",932,"3,526",413,"2,009",29,155,0,0,0,0,0,0
20-Oct,경부선,266,오산대,176,1,"2,313",537,"4,916","1,945","9,255","3,406","6,658","8,067","4,938","4,209","3,918","4,552","3,958","4,328","4,487","3,661","4,964","5,424","5,315","4,345","5,725","2,855","7,436","4,599","6,904","5,800","7,624","9,016","3,673","7,374","2,830","4,684","2,593","4,335","1,629","3,214",918,"2,370",62,134,0,0,0,0,0,0
20-Oct,경부선,267,오산,442,1,"6,197","1,432","12,333","7,981","19,352","20,168","19,247","18,708","14,705","12,404","13,985","9,819","14,708","9,078","15,894","11,853","15,100","12,916","14,135","12,540","14,536","15,060","17,473","17,297","23,574","20,711","24,575","25,911","14,347","21,702","11,564","16,675","8,247","12,825","5,193","9,189","2,138","6,299",82,424,0,0,0,0,0,0
20-Oct,경부선,268,진위,15,0,730,215,"1,422","2,285","2,361","6,003","2,238","6,901","1,850","1,227","1,343","1,239","1,430","1,049","1,680",957,"1,590","1,176","1,511","1,048","2,096","1,047","2,597","1,593","5,323","1,688","7,629","2,301","2,851","2,023","1,850","1,201","1,267","1,458",585,"1,281",224,680,6,53,0,0,0,0,0,0
20-Oct,경부선,269,송탄,116,1,"5,892",712,"7,215","2,841","11,692","4,548","9,134","6,950","7,287","3,809","6,639","3,376","7,027","4,344","7,159","4,917","7,256","4,933","6,246","5,724","6,823","6,276","8,068","7,297","8,100","9,627","9,389","10,947","5,537","11,993","4,172","8,375","3,242","8,532","2,103","7,438",842,"4,385",56,488,0,0,0,0,0,0
20-Oct,경부선,270,서정리,32,2,"2,639","7,236","7,255","6,183","11,022","9,799","10,036","14,329","7,742","8,062","7,741","6,068","8,240","5,283","10,130","8,493","9,039","8,608","8,928","7,154","10,571","6,900","14,308","11,386","19,821","12,281","17,347","11,629","9,964","13,171","6,799","9,250","4,749","7,892","2,639","7,288",943,"4,994",19,613,2,1,0,0,0,0
20-Oct,경부선,271,지제,8,0,833,"1,968","2,148","5,595","5,792","7,875","4,605","5,348","2,759","2,800","2,601","1,865","2,583","2,698","3,759","2,815","2,466","2,296","3,008","2,645","4,432","3,314","5,089","3,296","8,469","3,385","7,688","5,388","5,313","4,218","2,865","3,366","3,144","2,575","2,184","2,398",837,"1,620",0,105,0,0,0,0,0,0
20-Oct,경부선,272,평택,155,1,"7,208","2,528","12,140","7,680","23,493","14,948","21,699","20,447","18,668","17,895","17,531","14,186","17,374","18,758","18,853","19,605","19,912","20,133","19,278","20,648","20,929","22,081","25,081","25,627","29,396","29,079","27,896","31,933","20,859","23,636","19,109","19,366","13,032","14,051","9,834","11,278","4,883","7,362",29,"1,802",0,0,0,0,0,0
20-Oct,경부선,273,성환,27,0,"1,440",645,"2,434","1,843","5,323","9,757","4,724","11,641","4,533","6,688","4,802","4,343","5,300","4,692","6,039","6,905","7,816","6,646","6,903","5,247","7,292","4,705","9,195","5,763","13,873","5,995","10,881","6,657","4,765","5,173","3,829","4,364","2,481","4,288","1,248","3,839",529,"3,135",68,825,0,0,0,0,0,0
20-Oct,경부선,274,직산,35,0,482,214,"1,082",692,"1,506","1,880","1,055","2,678","1,021",761,"1,068",834,"1,012",825,"1,051",928,"1,037",989,"1,015",853,"1,153",865,"1,200","1,144","2,183","1,255","2,153","1,432",936,"1,472",739,759,507,850,351,628,148,523,20,128,0,0,0,0,0,0
20-Oct,경부선,275,두정,"1,207",5,"3,704",761,"7,692","2,439","11,761","5,792","9,918","8,789","7,074","7,676","6,672","5,150","6,980","6,839","7,050","7,483","7,833","8,711","7,828","7,088","8,424","7,380","9,275","8,873","11,494","10,996","11,098","13,990","6,918","10,614","5,521","10,260","4,493","6,829","3,630","6,315","1,942","5,448",29,"1,381",0,0,0,0,0,0
20-Oct,경부선,276,천안,"1,623",2,"2,514",598,"4,404","3,696","8,496","5,010","7,389","8,432","8,175","9,030","8,516","9,087","9,573","11,128","9,098","10,447","10,131","11,995","11,174","9,367","12,268","12,825","13,337","10,910","13,090","12,065","12,654","12,951","9,172","9,327","6,706","8,259","5,366","4,501","3,078","4,050","1,530","2,302",14,"2,213",0,0,0,0,0,0
20-Oct,경부선,277,당정,19,1,"3,359",899,"9,191","2,971","22,436","7,176","19,810","14,477","10,783","5,161","7,821","3,962","7,725","4,129","8,075","4,854","7,648","5,317","6,463","5,062","6,662","7,001","7,630","8,349","10,604","11,830","13,848","16,267","6,249","17,970","4,724","11,234","3,438","9,707","2,897","8,270","1,067","6,459",110,"1,247",0,0,0,0,0,0
20-Oct,경부선,278,서동탄,0,0,"1,228",5,"4,445",674,"9,915","1,594","4,367","1,748","2,079",753,"1,950",728,"1,857","1,158","1,755","1,300","1,561","1,085","1,476","1,333","1,790","1,894","1,886","1,977","2,147","3,053","2,453","4,327","1,109","5,151",896,"2,910",518,"1,750",452,"2,289",113,"1,467",6,"1,229",0,0,0,0,0,0
20-Oct,경부선,279,광명,0,0,17,"2,054","2,374","3,352","11,304","3,754","9,324","3,457","5,666","3,573",966,"2,743","4,045","1,771","4,631","2,572","3,474","2,191","3,153","4,718","3,644","3,011","9,595","3,269","1,789","4,797","6,883","10,164","7,093","6,398","1,421","3,689","4,383","2,591","1,946","4,210",477,58,0,0,0,0,0,0,0,0
20-Oct,경인선,293,개봉,"1,279",29,"17,819","6,157","32,579","10,785","83,373","14,962","79,855","22,261","46,909","17,521","33,170","15,012","29,474","18,311","30,285","21,940","29,080","21,396","25,987","25,281","25,084","30,323","27,090","37,598","29,766","56,550","28,725","88,015","17,462","67,220","13,449","39,339","11,352","34,599","8,152","29,283","3,563","17,928",143,"2,942",0,2,0,0,0,0
20-Oct,경인선,294,오류동,706,10,"11,479","1,986","16,557","5,159","45,931","5,859","46,988","10,485","24,592","9,232","17,699","8,754","15,659","9,609","17,685","10,906","16,212","11,190","13,840","13,498","13,386","15,916","14,349","18,189","15,119","24,878","14,304","40,678","8,635","34,575","6,702","22,082","5,705","18,683","4,405","15,980","1,743","10,020",100,"1,847",0,0,0,0,0,0
20-Oct,경인선,295,역곡,975,23,"25,606","4,016","40,825","10,476","109,411","12,745","108,083","29,221","56,058","27,960","37,480","22,532","35,042","25,132","37,485","27,692","35,273","28,102","31,645","31,007","32,886","32,817","35,083","45,995","37,966","62,921","35,258","102,701","22,588","90,697","18,138","51,043","15,398","44,604","13,409","40,499","5,879","25,102",368,"3,363",0,4,0,0,0,0
20-Oct,경인선,296,부천,"2,828",20,"34,702","4,892","39,471","12,088","96,743","18,278","97,280","41,083","55,088","37,183","41,724","34,178","42,787","36,406","46,001","44,572","46,025","48,438","44,398","49,820","46,233","50,119","51,701","59,128","55,184","78,771","55,726","115,857","38,008","100,299","31,783","56,615","31,403","48,528","27,351","38,636","13,185","28,565",846,"5,311",2,7,0,0,0,0
20-Oct,경인선,297,송내,"1,451",15,"14,921","8,280","33,467","16,009","100,596","29,192","83,407","76,186","45,686","38,540","32,720","22,120","33,683","21,419","34,774","23,571","32,026","26,555","29,403","26,223","30,188","28,861","35,788","36,289","44,350","52,356","70,867","84,274","31,258","79,011","23,056","45,241","19,243","39,200","15,610","33,772","6,858","21,644",934,"4,607",0,1,0,0,0,0
20-Oct,경인선,298,부평,"7,889",80,"21,602","5,236","32,489","11,089","77,519","18,361","73,131","30,287","40,224","35,289","34,459","30,425","35,855","37,226","39,556","44,320","40,625","50,372","40,831","51,987","44,138","55,967","50,561","63,813","55,975","78,206","54,278","121,107","41,804","95,460","39,210","55,568","37,641","44,420","34,470","36,102","18,004","25,097","3,039","7,250",5,16,0,0,0,0
20-Oct,경인선,299,백운,123,2,"6,924","1,821","12,344","3,301","26,601","4,036","24,047","9,577","13,880","6,403","11,068","5,292","10,649","6,456","10,758","7,736","9,823","7,835","9,002","8,230","8,734","10,385","9,610","12,176","10,980","15,606","10,235","23,058","5,147","21,473","3,952","13,485","3,611","11,095","2,471","9,962","1,266","7,048",179,"1,936",0,8,0,0,0,0
20-Oct,경인선,300,동암,773,8,"19,646","5,196","27,385","9,987","50,375","13,118","48,914","17,043","29,819","12,956","22,699","13,038","21,010","14,689","22,161","15,859","21,353","17,315","18,771","17,247","18,296","22,507","21,724","26,605","24,525","37,647","23,125","50,653","15,006","46,254","11,706","29,732","10,618","26,518","7,380","22,712","3,835","15,312",298,"3,894",0,24,0,0,0,0
20-Oct,경인선,301,주안,"1,111",16,"13,001","3,943","23,117","8,558","57,017","17,509","49,573","27,690","30,336","21,215","23,822","15,408","24,874","15,661","27,770","19,761","27,260","18,485","24,932","20,455","26,427","21,585","29,856","27,100","35,815","37,280","37,018","50,218","21,736","52,962","18,805","31,360","16,837","26,369","13,670","24,264","6,720","16,736",702,"4,530",4,15,0,0,0,0
20-Oct,경인선,302,제물포,832,7,"7,158","1,765","12,084","4,999","33,166","11,902","28,806","26,001","16,592","13,998","13,127","9,054","14,196","8,269","14,566","10,145","14,012","11,204","13,409","10,533","15,063","10,703","20,479","14,859","20,003","18,885","22,311","25,417","10,072","24,939","7,296","15,778","5,337","14,220","3,752","11,897","1,819","10,047",117,"2,938",0,10,0,0,0,0
20-Oct,경인선,303,동인천,"1,739",4,"7,171","3,328","14,115","12,047","36,118","20,687","28,907","30,218","18,876","14,580","17,151","15,791","19,142","18,484","20,219","18,241","21,129","19,937","21,383","18,474","23,695","18,912","28,292","22,434","34,116","24,035","36,858","30,269","17,645","32,014","13,363","18,911","9,844","14,708","6,701","13,724","2,615","10,168",23,"3,404",0,19,0,0,0,0
20-Oct,경인선,304,인천,336,5,"1,246","1,111","2,548","3,170","5,161","5,075","4,515","7,052","3,020","4,100","3,169","5,676","4,241","8,865","6,018","9,764","7,830","9,108","9,730","8,833","10,734","7,074","13,190","5,477","14,094","4,189","12,677","3,604","6,863","2,762","4,875","2,140","3,557","1,619","1,999","1,235",607,913,8,822,0,6,0,0,0,0
20-Oct,경인선,305,구일,236,8,"3,475","1,515","8,519","3,316","24,077","7,890","22,910","10,720","11,539","6,773","8,920","5,011","8,780","5,264","8,642","6,738","8,289","8,240","7,765","7,821","8,798","8,917","9,900","10,591","10,944","13,908","11,196","24,908","5,073","20,132","5,216","11,077","3,948","8,972","3,625","7,613","1,087","4,920",46,"1,072",0,0,0,0,0,0
20-Oct,경인선,306,소사,"1,186",39,"16,807","2,966","15,450","5,712","33,364","7,059","30,973","11,741","20,315","8,850","15,698","9,007","14,076","9,716","14,614","11,527","13,238","11,465","12,418","12,121","11,916","12,418","12,620","16,429","14,565","21,576","13,119","29,334","7,345","26,577","5,827","15,079","4,726","14,854","3,248","12,566","1,405","8,648",116,"1,831",0,2,0,0,0,0
20-Oct,경인선,307,부개,"1,906",27,"8,743","2,753","14,464","4,440","34,700","5,617","28,082","10,090","16,336","6,143","12,253","5,801","11,851","6,469","11,678","7,662","11,146","8,462","9,691","8,977","9,454","10,929","11,432","13,570","11,473","16,622","10,818","28,070","6,125","23,878","4,265","14,218","3,760","12,894","2,690","10,626","1,320","7,755",186,"2,055",0,1,0,0,0,0
20-Oct,경인선,308,간석,282,12,"4,724","1,095","9,925","2,024","21,416","3,456","17,835","7,820","10,465","4,614","8,131","4,114","7,989","5,250","7,832","5,746","7,833","6,413","6,816","6,578","7,202","7,445","8,141","9,250","8,200","13,042","8,631","16,284","4,776","17,304","3,862","10,004","3,446","8,451","2,614","7,426","1,535","5,374",145,"1,657",0,3,0,0,0,0
20-Oct,경인선,309,도원,696,21,"2,446","1,123","3,044","1,821","5,997","4,279","5,698","19,490","4,404","3,689","4,023","3,406","4,473","3,332","4,722","3,638","4,816","3,989","4,192","4,172","5,586","4,920","10,234","5,530","8,256","5,335","8,274","5,507","3,328","4,991","2,291","3,436","1,914","2,928",965,"2,365",312,"2,080",11,"1,028",0,3,0,0,0,0
20-Oct,경인선,310,온수(성공회대입구),221,9,"5,238","1,513","8,055","4,119","22,097","8,708","21,836","12,488","12,794","6,219","10,058","6,029","10,123","5,970","11,050","7,059","9,984","7,219","9,088","7,974","9,521","8,422","13,649","10,526","11,822","13,502","11,182","22,124","5,592","18,271","4,341","10,758","3,834","9,077","2,797","8,893","1,340","5,409",174,"1,133",1,5,0,0,0,0
20-Oct,경인선,311,중동,832,7,"9,813","1,455","15,138","4,851","38,395","5,864","30,625","11,850","16,733","7,636","12,763","7,269","11,968","7,129","12,469","9,286","11,654","9,138","10,195","10,447","10,160","11,202","11,425","14,027","12,409","19,063","12,563","28,242","6,768","26,728","5,348","15,574","4,458","12,806","3,121","11,572","1,333","7,273",164,"2,608",0,6,0,0,0,0
20-Oct,경인선,312,도화,291,2,"3,483",806,"5,521","2,165","13,350","3,779","11,497","6,791","7,051","3,042","5,527","3,093","5,409","3,363","5,542","4,147","5,297","4,155","4,985","4,305","4,787","4,666","6,054","6,399","6,124","7,000","5,867","8,892","2,927","8,317","2,105","5,399","1,560","4,439",909,"3,720",608,"3,338",34,"1,448",0,7,0,0,0,0
20-Oct,경원선,128,이촌(국립중앙박물관),52,0,"1,173",502,"3,191","2,078","6,834","4,070","8,167","7,379","6,872","4,438","5,170","3,135","4,899","3,027","5,420","3,284","5,512","3,789","5,289","3,738","6,244","4,247","7,292","4,846","9,604","5,631","9,745","7,278","5,096","5,888","3,803","3,838","3,806","3,225","2,410","3,488",766,"2,212",82,803,1,0,0,0,0,0
20-Oct,경원선,129,서빙고,41,1,795,547,"1,724","2,670","2,745","3,910","3,027","7,056","2,651","2,898","2,151","1,665","2,076","1,442","2,240","1,756","2,474","1,814","2,360","1,751","2,695","2,146","4,089","2,368","5,679","2,524","6,562","3,359","2,695","2,580","1,687","1,608","1,381","1,229",864,"1,285",308,883,62,269,0,0,0,0,0,0
20-Oct,경원선,130,한남,195,2,"1,923",687,"2,443","4,354","4,234","9,495","5,568","12,706","4,655","11,278","4,450","5,585","5,217","4,732","5,288","4,526","4,964","5,689","5,729","4,176","7,003","5,099","8,113","5,407","13,038","6,780","13,990","8,182","7,108","5,662","5,045","3,231","4,513","3,294","4,160","2,115","1,635","1,467",82,578,0,0,0,0,0,0
20-Oct,경원선,131,옥수,0,0,-,14,0,62,30,31,53,229,33,30,33,165,16,157,10,69,20,21,24,6,12,8,286,25,332,17,21,49,358,11,22,12,42,9,15,7,9,0,0,0,0,0,0,0,0,0
20-Oct,경원선,132,응봉,153,1,"1,123",278,"2,522","1,129","5,930","1,622","6,839","2,468","4,322","1,333","2,870","1,267","2,822","1,543","2,485","1,710","2,465","2,046","2,313","2,307","2,436","2,589","2,994","3,261","2,906","3,837","2,889","4,812","1,671","4,822","1,170","2,485",861,"1,938",763,"1,789",284,"1,119",15,421,0,0,0,0,0,0
20-Oct,경원선,133,왕십리(성동구청),838,3,"5,260",804,"7,464","4,144","22,666","10,181","36,483","19,800","23,532","13,696","13,723","14,187","13,812","16,061","16,361","19,177","17,259","20,657","17,951","21,236","19,833","23,932","22,072","27,730","26,187","37,844","27,704","59,533","20,892","45,575","19,810","26,121","21,534","20,302","20,674","19,809","9,442","11,725",418,"5,253",4,9,0,0,1,0
20-Oct,경원선,134,청량리(서울시립대입구),"1,259",8,"6,996","1,037","7,511","10,881","25,797","12,608","27,236","19,247","24,691","26,103","23,415","26,356","19,245","29,454","25,551","26,883","26,030","25,894","28,270","29,964","30,072","30,106","28,481","30,612","31,516","31,523","26,752","41,929","23,988","32,542","22,600","17,143","10,895","14,265","9,732","11,900","3,117","6,992",125,"2,918",0,4,0,0,0,0
20-Oct,경원선,136,외대앞,454,7,"4,769","1,312","7,367","3,347","16,748","3,628","20,018","11,994","12,491","9,188","10,586","8,148","10,738","8,199","11,416","9,272","11,773","9,166","11,765","10,584","12,494","11,328","13,165","12,800","15,384","15,592","12,252","21,339","8,272","17,925","6,582","11,231","6,541","10,965","5,356","10,211","2,470","7,625",61,"1,323",1,9,0,0,0,0
20-Oct,경원선,137,신이문,"1,355",26,"8,268","1,111","12,639","2,315","34,032","4,225","36,302","7,281","20,453","4,514","14,371","5,374","12,093","6,459","12,118","7,595","12,098","8,207","10,131","9,163","9,536","12,797","8,904","15,737","9,090","19,319","8,693","29,935","5,671","24,233","3,410","15,018","2,914","12,328","1,981","11,458",895,"7,167",51,"1,218",1,7,0,0,0,0
20-Oct,경원선,138,석계,"1,144",18,"5,927","2,193","10,481","4,772","22,848","5,455","27,669","8,710","18,638","6,949","15,157","7,322","13,562","8,376","13,423","9,701","12,828","10,984","11,958","11,651","11,385","16,113","11,498","19,444","12,539","24,516","11,036","37,207","8,119","27,362","6,471","18,337","6,099","14,926","5,019","12,684","2,430","8,646",112,"1,676",2,14,0,0,0,0
20-Oct,경원선,139,광운대,"2,232",21,"5,654","1,228","11,273","2,708","29,731","5,239","27,917","11,888","15,195","8,926","12,236","8,049","11,003","9,826","11,583","9,113","11,877","10,302","11,230","11,216","10,728","11,658","11,704","13,569","12,080","16,956","11,105","23,833","6,723","20,979","5,571","12,848","4,846","10,578","4,357","9,227","1,969","9,068",129,"3,674",1,19,0,0,0,0
20-Oct,경원선,140,월계,659,6,"4,899","1,101","8,210","2,428","21,399","7,756","19,034","8,206","13,149","6,566","10,898","5,585","10,238","5,898","10,126","7,569","10,234","8,580","9,045","7,326","9,626","9,381","11,559","11,792","10,401","13,484","8,963","18,109","5,097","16,214","3,628","9,056","3,269","8,144","2,531","6,979",902,"4,906",42,"1,054",0,0,0,0,0,0
20-Oct,경원선,141,녹천,850,13,"4,248",734,"6,822","1,564","19,342","3,184","16,218","4,256","10,465","2,277","7,813","2,978","6,795","3,380","7,462","4,440","6,413","4,338","5,552","4,536","5,514","5,960","6,127","7,518","5,502","8,962","4,694","12,943","3,180","12,118","1,998","6,939","1,796","6,403","1,189","5,174",440,"3,708",55,689,0,0,0,0,0,0
20-Oct,경원선,142,창동,0,0,-,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20-Oct,경원선,358,방학,695,6,"10,655","1,604","13,607","5,195","28,019","8,630","26,500","17,377","17,318","9,546","15,097","9,780","13,758","9,360","14,892","10,760","14,126","11,025","12,883","13,037","12,858","16,393","14,667","18,829","14,726","19,312","16,759","27,516","9,205","24,854","6,421","13,368","4,855","11,686","3,941","9,432","1,465","6,167",168,"2,177",0,1,0,0,0,0
20-Oct,경원선,359,도봉,317,14,"7,109","1,296","8,673","2,955","18,112","3,861","17,284","9,067","11,883","7,167","10,296","7,720","9,632","6,395","8,814","7,287","9,438","7,855","9,669","8,623","9,493","10,192","8,887","11,176","9,406","12,180","9,533","15,893","4,868","14,782","3,118","8,222","2,576","7,187","1,850","6,069",773,"3,773",94,"1,452",0,0,0,0,0,0
