사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,2호선,15,동대문역사문화공원(DDP),243,1,"6,875",865,"4,636","6,550","5,593","20,360","8,622","47,235","8,686","27,639","9,313","23,645","12,820","24,187","14,336","21,962","16,299","23,813","20,382","23,467","25,595","21,259","30,095","18,436","37,233","19,164","39,952","21,646","25,213","23,395","18,419","14,461","18,903","10,202","13,145","8,142","5,476","6,847",19,645,5,12,0,1,0,0
20-Oct,2호선,16,신당,29,1,"5,822","1,185","10,439","7,182","23,594","15,525","38,674","32,348","23,922","21,037","16,374","16,753","16,183","17,354","17,997","17,976","19,522","19,254","20,126","19,869","20,536","20,258","23,042","23,401","27,074","29,282","32,471","40,199","20,514","27,672","14,991","17,238","12,422","15,739","9,984","13,712","4,133","9,961",15,248,7,6,0,0,0,0
20-Oct,2호선,17,상왕십리,72,0,"5,317",535,"11,263","4,687","33,990","10,833","53,650","31,759","29,450","18,159","18,050","11,615","16,972","10,631","17,050","11,984","17,385","14,207","15,675","13,864","17,215","15,932","17,500","19,315","21,834","27,719","26,496","45,118","16,119","31,105","10,750","19,085","9,526","18,779","7,390","16,393","2,301","11,336",3,97,0,9,0,0,0,0
20-Oct,2호선,18,왕십리(성동구청),828,2,"6,663",800,"8,835","4,798","23,160","10,601","40,268","26,092","25,477","16,814","17,378","12,545","17,667","13,106","19,493","15,353","20,848","16,292","20,671","17,063","22,315","18,309","25,346","21,232","31,557","29,588","36,843","49,877","23,088","32,943","21,025","19,506","22,616","16,102","23,546","15,149","12,699","11,926",107,310,8,13,0,0,0,0
20-Oct,2호선,19,한양대,2,0,983,285,"2,215","4,978","4,462","10,924","7,684","35,047","5,665","27,986","5,278","19,094","7,413","11,518","8,563","15,598","9,622","15,370","10,617","13,446","13,321","9,338","17,268","8,499","26,966","9,946","26,506","11,305","13,381","6,455","10,223","4,532","11,403","4,112","8,475","3,899","3,709","2,974",8,11,3,1,0,0,0,0
20-Oct,2호선,20,뚝섬,26,4,"3,400","1,985","7,171","12,832","17,452","28,727","24,978","112,910","15,923","69,070","12,510","28,580","12,711","21,972","15,279","23,494","18,303","26,312","20,917","24,672","24,812","24,822","31,129","25,650","50,396","28,745","103,241","36,987","52,397","23,504","30,658","13,336","27,436","10,865","19,587","9,592","6,073","6,884",14,68,8,16,0,1,0,0
20-Oct,2호선,21,성수,47,0,"5,092","3,194","8,452","25,286","21,797","60,715","28,552","227,174","22,036","108,030","18,677","38,826","19,439","30,256","22,022","32,381","26,396","36,530","29,197","34,054","33,883","35,619","43,756","35,797","85,276","40,091","181,903","50,008","82,577","32,006","47,241","17,076","45,226","13,877","34,190","12,852","10,678","11,416",12,"4,198",2,10,0,5,0,0
20-Oct,2호선,22,건대입구,265,9,"16,062","2,036","20,466","17,149","48,418","23,664","81,666","57,087","55,961","42,852","32,617","34,847","31,299","37,708","36,465","46,877","40,507","54,537","41,916","54,251","46,036","58,689","52,978","67,150","66,096","93,757","80,858","142,196","59,037","104,234","59,026","61,159","62,883","53,466","66,699","46,096","32,226","28,564",85,"4,011",15,26,0,2,0,0
20-Oct,2호선,23,구의(광진구청),45,3,"12,699","1,098","23,314","8,780","58,436","13,606","98,171","35,094","58,166","22,228","30,701","17,551","26,395","17,249","27,572","19,950","27,947","22,323","25,448","24,077","24,685","30,334","27,500","35,372","32,325","48,846","39,709","80,004","21,227","61,932","16,281","39,619","15,202","36,235","13,792","34,292","5,952","19,038",36,"1,592",6,16,2,5,0,0
20-Oct,2호선,24,강변(동서울터미널),11,1,"8,253","2,372","23,505","22,564","67,028","25,913","97,589","43,538","69,686","37,940","52,330","35,722","48,997","34,450","48,599","39,137","48,621","41,995","45,437","45,400","45,300","52,101","49,716","58,375","54,781","73,146","61,226","103,865","48,610","76,657","39,533","50,143","32,174","40,183","22,792","39,435","7,689","21,859",26,731,15,11,0,2,0,0
